population,variable,observed_value,se,source,role,epistemic_status,notes
Oshima,nectar_guide,, ,future_field_validation,excluded_from_ABC,pending_field_validation,Planned own-field data; no Inoue per-population nectar-guide measurement exists. Fill after collection then promote to observed_target
Hachijo,nectar_guide,, ,future_field_validation,excluded_from_ABC,pending_field_validation,Planned own-field data; no Inoue per-population nectar-guide measurement exists. Fill after collection then promote to observed_target
Oshima,selfing_rate,, ,Inoue1990,observed_target,field_derived,fill outcrossing/selfing estimate from Inoue 1990 (t≈0.62-0.79 SI mainland/Oshima); transcribe from primary PDF
Hachijo,selfing_rate,, ,Inoue1990,observed_target,field_derived,fill selfing estimate from Inoue 1990 (southern islands predominantly selfing); transcribe from primary PDF
Oshima,herkogamy,, ,theoretical,excluded_from_ABC,theoretical_design,NOT an Inoue measurement; dichogamy/protandry and breeding-system timing are documented instead. Treat as latent delayed-selfing geometry pending direct field validation; excluded from ABC
Hachijo,herkogamy,, ,theoretical,excluded_from_ABC,theoretical_design,NOT an Inoue measurement; dichogamy/protandry and breeding-system timing are documented instead. Treat as latent delayed-selfing geometry pending direct field validation; excluded from ABC
Oshima,flower_size,, ,Inoue1986,observed_target,field_derived,fill corolla-size value from Amano & Inoue 1986; transcribe from primary PDF
Hachijo,flower_size,, ,Inoue1986,observed_target,field_derived,fill corolla-size value from Amano & Inoue 1986; transcribe from primary PDF
Oshima,Fis,, ,genetic_survey,observed_target,genetic_derived,fill only when independent genetic estimate is available; not Inoue field measurement unless source confirms
Hachijo,Fis,, ,genetic_survey,observed_target,genetic_derived,fill only when independent genetic estimate is available; not Inoue field measurement unless source confirms
Oshima,primary_pollinator_frequency,0.35,,Inoue1986,input_context,field_derived,fixed empirical context x_obs; excluded from ABC target distance
Hachijo,primary_pollinator_frequency,0.00,,Inoue1986,input_context,field_derived,fixed empirical context x_obs; excluded from ABC target distance
